epoch, time, test_loss, train_loss, test_accuracy, reconstruction_loss_train, reconstruction_loss_test
0, 10.24034857749939, 0.906160537200638, 0.9154110550880432, 9.74, 182.07228088378906, 179.54665480987936
1, 106.29912495613098, 0.11871005538143689, 0.2960901665153788, 97.76, 51.65960533125823, 43.40392965002905
2, 106.43686199188232, 0.107946679561953, 0.1103779869134238, 98.1, 42.006229351832665, 40.735729700402366
3, 106.58560943603516, 0.09483846701398681, 0.09894578017469154, 98.77, 40.40558080937562, 39.42549968671195
4, 106.32779884338379, 0.08680676565140108, 0.09268987021530106, 99.00999999999999, 38.97629155888995, 36.96237672733355
5, 106.34879207611084, 0.14426369295467303, 0.08255830558060583, 99.03999999999999, 34.87666702677192, 32.85095441794093
6, 106.18004250526428, 0.12404360028007362, 0.1329026489115473, 99.02, 30.340827905292958, 28.052319900898993
7, 106.30506706237793, 0.11437292491333394, 0.1182268676218956, 99.19, 26.915096539169994, 25.798810934718652
8, 107.12164640426636, 0.10856252937000009, 0.11011115822202361, 99.08, 25.195798934903987, 24.43478207648555
9, 107.01730394363403, 0.10340376198291779, 0.10275067790929697, 99.19, 23.547437167625183, 23.09210122989703
10, 106.16950011253357, 0.1821431085655961, 0.09760638493210522, 99.26, 22.386760431057862, 21.65904317928266
11, 106.1485595703125, 0.17382295052461985, 0.17671676377243578, 99.2, 21.108168819565762, 20.433330077159255
12, 106.35121870040894, 0.16358097878438008, 0.16577008722433403, 99.22999999999999, 19.80529354477742, 19.296729618989968
13, 106.47681951522827, 0.15545214401392998, 0.15878027092927555, 99.32, 18.96272498661521, 18.38208436362351
14, 107.09286785125732, 0.15054569242498542, 0.15128582858963052, 99.27, 18.085376540226722, 17.714145636256738
15, 107.97611737251282, 0.2811977380438696, 0.14515511068835188, 99.39, 17.30868160597551, 17.015489602390723
16, 106.63101077079773, 0.26298906361754937, 0.2719284375783985, 99.3, 16.549342499104643, 15.83140781257726
17, 106.47310543060303, 0.2513908525056477, 0.2534037937741798, 99.29, 15.400172841574337, 15.109240121479276
18, 106.01909232139587, 0.23828925871396367, 0.24072904220776264, 99.27, 14.625591520053238, 14.331625841840912
19, 105.39566898345947, 0.22937928328785714, 0.23022545219611512, 99.2, 13.9768049427187, 13.741227174107033
20, 104.6101086139679, 0.4272296179698992, 0.21998277236657865, 99.33, 13.322993929198047, 13.077255526675454
21, 104.07495021820068, 0.4124213902256157, 0.4220728870393879, 99.28, 12.946704223974427, 12.572532774526861
22, 104.15053009986877, 0.39363672669175304, 0.39480851943304796, 99.33999999999999, 12.099782789185612, 11.985408052613463
23, 104.13344836235046, 0.37822576508491856, 0.3769015719387323, 99.41, 11.545234015247207, 11.516808878017377
24, 104.04914832115173, 0.3637221949764445, 0.36292674413113707, 99.37, 11.110176655783581, 11.057379915744443
25, 103.81343388557434, 0.6950235574305812, 0.35182065178336364, 99.35000000000001, 10.744510048742233, 10.70981812175316
26, 103.74958157539368, 0.6810564523256277, 0.6898759599687703, 99.29, 10.639163792006242, 10.466888801961005
27, 103.81277871131897, 0.6621664317348336, 0.6526181109424339, 99.3, 10.05230227919784, 10.169755820986591
28, 103.86423516273499, 0.6323709536956835, 0.6276331575694623, 99.31, 9.661217571575758, 9.701002253761775
29, 104.1135847568512, 0.6177379243736025, 0.6070924661815293, 99.31, 9.339841612874826, 9.47586247287219
30, 103.71338748931885, 1.1919248254993293, 0.5914026322776574, 99.35000000000001, 9.07441838412905, 9.224262201333348
31, 103.8462381362915, 1.1803482884093175, 1.1754173735565723, 99.32, 9.092450726515194, 9.116285819041577
32, 103.79851007461548, 1.144509956806521, 1.1131547219209326, 99.29, 8.603561887354738, 8.835599820825118
33, 103.97501349449158, 1.1201493634453303, 1.0813038917238524, 99.31, 8.353598935263497, 8.645433613016635
34, 103.8256459236145, 1.0900987975205048, 1.0515688875082458, 99.33, 8.120868495786622, 8.410580659214455
35, 103.6544771194458, 2.1211693120908133, 1.028831429191744, 99.33999999999999, 7.928222064524571, 8.23199599905859
36, 103.85594630241394, 2.0919086435173133, 2.072461807397383, 99.3, 8.037247563221815, 8.108543196810952
37, 103.58028960227966, 2.0342077454434166, 1.9647262531048708, 99.24, 7.614678974598964, 7.881628875490986
38, 103.69980359077454, 2.001251711121088, 1.9038288438243907, 99.24, 7.375987059017743, 7.7526025591017325
39, 103.55200624465942, 1.95941619028019, 1.8585757815253252, 99.22999999999999, 7.198194142852002, 7.588657970669903
40, 103.81977677345276, 3.8108622695826275, 1.8175695018727642, 99.22, 7.022303871000245, 7.410013035882877
41, 103.91734075546265, 3.763514198834383, 3.6648939631895217, 99.2, 7.1198979359445795, 7.311168984521793
42, 103.93982696533203, 3.6930008628700355, 3.4879848001354032, 99.17, 6.772920405178436, 7.1722040538546405
43, 103.985018491745, 3.6160497423968736, 3.391806105815017, 99.22999999999999, 6.584264249943975, 7.022074264816091
44, 103.90682315826416, 3.5480224331722985, 3.322714872197556, 99.19, 6.448852234049393, 6.888356589063814
45, 103.94739556312561, 6.78306667110588, 3.275331755436814, 99.22999999999999, 6.344188139128533, 6.76148694678198
46, 103.80366921424866, 6.826696281191669, 6.520869592613757, 99.22, 6.495828826798559, 6.801255835762507
47, 103.66906642913818, 6.727225828774368, 6.22533740163612, 99.17, 6.199177562046661, 6.701535092124456
48, 103.68915939331055, 6.609213294862192, 6.084518584107031, 99.21, 6.057918748875925, 6.5829363774649705
49, 103.85491037368774, 6.481455633911906, 5.9709063237155675, 99.18, 5.943735095229484, 6.454597874532772
